matiere,texte,type_question,difficulte,niveau_requis,choix_a,choix_b,choix_c,choix_d,reponse_correcte
Mathématiques,Quel est le résultat de 2+2?,QCM,1,1,3,4,5,6,B
Mathématiques,Résolvez: x² = 9,QCM,2,2,-3 ou 3,-3 uniquement,3 uniquement,0,A
Français,Quel auteur a écrit "Les Misérables"?,QCM,2,1,Victor Hugo,Alexandre Dumas,Honoré Balzac,Gustave Flaubert,A
Français,Le français est une langue romane,VF,1,1,,,,,true
SVT,L'ADN est présent dans le nucleus de la cellule,VF,2,2,,,,,true
SVT,Quels sont les gaz atmosphériques? (sélectionnez les bonnes réponses),QCM,3,3,Azote,Oxygène,Hydrogène,Dioxyde de carbone,A,B,D
Histoire,En quelle année l'homme a-t-il marché sur la lune?,OUV,1,1,,,,,1969
Histoire,Quel était le premier président des USA?,OUV,2,2,,,,,George Washington
Science,La vitesse de la lumière est d'environ 300 000 km/s,VF,3,3,,,,,true
Science,Combien de continents y a-t-il sur Terre?,OUV,1,1,,,,,7
